##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.199119852973602	32.0	32.0	32.0	32.0	32.0
2	31.329073619474457	32.0	32.0	32.0	32.0	32.0
3	35.67421200436162	37.0	37.0	37.0	32.0	37.0
4	36.056697842186736	37.0	37.0	37.0	32.0	37.0
5	36.195361224886476	37.0	37.0	37.0	37.0	37.0
6	39.685999934533726	41.0	41.0	41.0	37.0	41.0
7	39.88179941769874	41.0	41.0	41.0	37.0	41.0
8	40.0572490156709	41.0	41.0	41.0	37.0	41.0
9	40.120682728535556	41.0	41.0	41.0	37.0	41.0
10-11	40.17568841976876	41.0	41.0	41.0	37.0	41.0
12-13	40.16903107425232	41.0	41.0	41.0	37.0	41.0
14-15	40.15100733434581	41.0	41.0	41.0	37.0	41.0
16-17	40.10402766820195	41.0	41.0	41.0	37.0	41.0
18-19	40.09958184062806	41.0	41.0	41.0	37.0	41.0
20-21	40.08251052207094	41.0	41.0	41.0	37.0	41.0
22-23	40.094706100682146	41.0	41.0	41.0	37.0	41.0
24-25	40.08437287428687	41.0	41.0	41.0	37.0	41.0
26-27	40.02457210997612	41.0	41.0	41.0	37.0	41.0
28-29	39.99279874071071	41.0	41.0	41.0	37.0	41.0
30-31	39.962863821230485	41.0	41.0	41.0	37.0	41.0
32-33	39.96313969639728	41.0	41.0	41.0	37.0	41.0
34-35	40.00134744660488	41.0	41.0	41.0	37.0	41.0
36-37	39.99702159757367	41.0	41.0	41.0	37.0	41.0
38-39	39.97087033776337	41.0	41.0	41.0	37.0	41.0
40-41	39.95869715809242	41.0	41.0	41.0	37.0	41.0
42-43	39.93815526795643	41.0	41.0	41.0	37.0	41.0
44-45	39.887382387307035	41.0	41.0	41.0	37.0	41.0
46-47	39.888451817038245	41.0	41.0	41.0	37.0	41.0
48-49	39.88829158177008	41.0	41.0	41.0	37.0	41.0
50-51	39.88221504997928	41.0	41.0	41.0	37.0	41.0
52-53	39.83572010303905	41.0	41.0	41.0	37.0	41.0
54-55	39.83747985583527	41.0	41.0	41.0	37.0	41.0
56-57	39.81284944111085	41.0	41.0	41.0	37.0	41.0
58-59	39.80091542075476	41.0	41.0	41.0	37.0	41.0
60-61	39.77649575857963	41.0	41.0	41.0	37.0	41.0
62-63	39.736294686790956	41.0	41.0	41.0	37.0	41.0
64-65	39.72756278211235	41.0	41.0	41.0	37.0	41.0
66-67	39.706897483020654	41.0	41.0	41.0	37.0	41.0
68-69	39.68305541280578	41.0	41.0	41.0	37.0	41.0
70-71	39.59746333044946	41.0	41.0	41.0	37.0	41.0
72-73	39.60476388761603	41.0	41.0	41.0	37.0	41.0
74-75	39.570438579473205	41.0	41.0	41.0	37.0	41.0
76-77	39.205957611214515	41.0	41.0	41.0	34.5	41.0
78-79	39.30188333112474	41.0	41.0	41.0	37.0	41.0
80-81	39.44829631144439	41.0	41.0	41.0	37.0	41.0
82-83	39.49238574720944	41.0	41.0	41.0	37.0	41.0
84-85	39.45979709947593	41.0	41.0	41.0	37.0	41.0
86-87	39.42310777649598	41.0	41.0	41.0	37.0	41.0
88-89	39.2820260753366	41.0	41.0	41.0	37.0	41.0
90-91	39.304408550827965	41.0	41.0	41.0	37.0	41.0
92-93	39.23967978646851	41.0	41.0	41.0	37.0	41.0
94-95	39.15678626092944	41.0	41.0	41.0	37.0	41.0
96-97	39.14276414999661	41.0	41.0	41.0	37.0	41.0
98-99	38.93737015748566	41.0	41.0	41.0	32.0	41.0
100-101	38.48252736607401	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3252252745035662
1101	2	-0.28400857428206194
1101	3	-0.12850752123642195
1101	4	-0.11945742876946497
1101	5	0.08817366815738126
1101	6	0.007897427474517826
1101	7	0.016799200454471475
1101	8	0.06956421219329911
1101	9	0.005403067458125577
1101	10-11	0.05053282502442613
1101	12-13	0.0586016854049376
1101	14-15	0.03396014804793168
1101	16-17	0.0458668278205181
1101	18-19	0.036093082530449294
1101	20-21	0.052983534460707915
1101	22-23	0.0393697818813834
1101	24-25	0.03477723574094682
1101	26-27	0.052156398036196094
1101	28-29	0.03367990743236504
1101	30-31	0.030545763500981593
1101	32-33	0.04575491660629183
1101	34-35	-0.010033285991120522
1101	36-37	0.0012258594250766919
1101	38-39	-0.006263193610699602
1101	40-41	-0.018476396657888472
1101	42-43	-0.015295601910857215
1101	44-45	0.041896348356189606
1101	46-47	0.015990320955495463
1101	48-49	-0.00809954672833868
1101	50-51	0.03462248827591452
1101	52-53	0.06785195524913235
1101	54-55	0.031284250547280124
1101	56-57	0.034671553877196004
1101	58-59	0.0370015658317584
1101	60-61	0.04407536282768376
1101	62-63	0.08513402769935396
1101	64-65	0.07265958129779193
1101	66-67	0.054391948258235345
1101	68-69	0.03046364737861751
1101	70-71	0.10519951646492842
1101	72-73	0.09494851624874201
1101	74-75	0.08271374881302052
1101	76-77	0.12381129212457154
1101	78-79	0.16710464227841015
1101	80-81	0.17972316320052073
1101	82-83	0.12661582673828775
1101	84-85	0.14646312254274818
1101	86-87	0.1270271748763392
1101	88-89	0.265178475981692
1101	90-91	0.27884806250416005
1101	92-93	0.3064738573457859
1101	94-95	0.3421465561496788
1101	96-97	0.21118000594896813
1101	98-99	0.44543600297084396
1101	100-101	0.3010711128572936
1102	1	-0.24199207411091805
1102	2	-0.14224261435275665
1102	3	-0.1096803677808964
1102	4	-0.041747962535488625
1102	5	0.13439248533489234
1102	6	0.060581051929759155
1102	7	0.06000299253922492
1102	8	0.0971754953851729
1102	9	0.02421772045367021
1102	10-11	0.0432605030437756
1102	12-13	0.054077808828395746
1102	14-15	0.029834979470258816
1102	16-17	0.076331475099785
1102	18-19	0.07980710355084142
1102	20-21	0.08206736720009644
1102	22-23	0.07162158750527681
1102	24-25	0.06459776835575326
1102	26-27	0.07969757862823457
1102	28-29	0.06443017268011886
1102	30-31	0.09064250111140382
1102	32-33	0.07081495189126485
1102	34-35	0.014192362228477862
1102	36-37	0.011119385671740645
1102	38-39	0.039860361408734946
1102	40-41	0.020613243986488783
1102	42-43	0.017705468229046062
1102	44-45	0.07216491805195346
1102	46-47	0.052531402362944846
1102	48-49	0.04931153131956734
1102	50-51	0.04774410861479339
1102	52-53	0.07937769502809289
1102	54-55	0.049116096412682
1102	56-57	0.05454622656612429
1102	58-59	0.0379029437915861
1102	60-61	0.041630266782625824
1102	62-63	0.07718167302091672
1102	64-65	0.06473939400867579
1102	66-67	0.07008207248578202
1102	68-69	0.047763555238063304
1102	70-71	0.0879176121521823
1102	72-73	0.10701343143059461
1102	74-75	0.13764672730754057
1102	76-77	0.17323469945965542
1102	78-79	0.17012052389979004
1102	80-81	0.1966549978747878
1102	82-83	0.15995148127878167
1102	84-85	0.15485505275072597
1102	86-87	0.14090724160669055
1102	88-89	0.27365487816186373
1102	90-91	0.28995313346737817
1102	92-93	0.3231178321157415
1102	94-95	0.34598943596988363
1102	96-97	0.3213561902488422
1102	98-99	0.5032731546683848
1102	100-101	0.3902629617053748
1103	1	-0.2181330834419768
1103	2	-0.12161535106211474
1103	3	-0.06418610776176337
1103	4	0.015201528964666977
1103	5	0.13770827912549066
1103	6	0.0830163615949644
1103	7	0.08342169255617193
1103	8	0.08383948855818346
1103	9	0.004959500876360323
1103	10-11	0.03693112383732
1103	12-13	0.04675289222706169
1103	14-15	0.02905951150998476
1103	16-17	0.04935633550928742
1103	18-19	0.06467110386511621
1103	20-21	0.10021791989344564
1103	22-23	0.09136894433287779
