##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.11523245884066	32.0	32.0	32.0	27.0	32.0
2	30.747228978008526	32.0	32.0	32.0	32.0	32.0
3	33.834618032222046	37.0	32.0	37.0	32.0	37.0
4	34.56114226445725	37.0	37.0	37.0	32.0	37.0
5	35.04145462080871	37.0	37.0	37.0	32.0	37.0
6	37.8059135141447	41.0	37.0	41.0	32.0	41.0
7	37.987992032457626	41.0	37.0	41.0	32.0	41.0
8	38.1194468347898	41.0	41.0	41.0	32.0	41.0
9	38.316131376792654	41.0	41.0	41.0	32.0	41.0
10-11	38.24969623048173	41.0	41.0	41.0	32.0	41.0
12-13	38.251548107357664	41.0	41.0	41.0	32.0	41.0
14-15	38.159267179824546	41.0	41.0	41.0	32.0	41.0
16-17	37.92905560949916	41.0	37.0	41.0	27.0	41.0
18-19	37.99632287950859	41.0	39.0	41.0	29.5	41.0
20-21	37.954206274896805	41.0	39.0	41.0	27.0	41.0
22-23	37.94410962426741	41.0	39.0	41.0	27.0	41.0
24-25	38.00675708523585	41.0	41.0	41.0	27.0	41.0
26-27	38.007949733685194	41.0	41.0	41.0	27.0	41.0
28-29	38.019340699405866	41.0	41.0	41.0	27.0	41.0
30-31	37.911704291915555	41.0	39.0	41.0	27.0	41.0
32-33	37.47236674652595	41.0	37.0	41.0	27.0	41.0
34-35	37.11915812165506	41.0	37.0	41.0	27.0	41.0
36-37	36.89329177391003	41.0	37.0	41.0	24.5	41.0
38-39	36.83429205093276	41.0	37.0	41.0	24.5	41.0
40-41	37.22070606761763	41.0	37.0	41.0	27.0	41.0
42-43	37.48929245969808	41.0	37.0	41.0	27.0	41.0
44-45	37.677748833846735	41.0	37.0	41.0	27.0	41.0
46-47	37.69304035715865	41.0	37.0	41.0	27.0	41.0
48-49	37.66081131367158	41.0	37.0	41.0	27.0	41.0
50-51	37.64736115507543	41.0	37.0	41.0	27.0	41.0
52-53	37.70338811524995	41.0	37.0	41.0	27.0	41.0
54-55	37.51397565000774	41.0	37.0	41.0	27.0	41.0
56-57	37.606598600153376	41.0	37.0	41.0	27.0	41.0
58-59	37.51506543515943	41.0	37.0	41.0	27.0	41.0
60-61	37.411083540572626	41.0	37.0	41.0	27.0	41.0
62-63	37.44357845027538	41.0	37.0	41.0	27.0	41.0
64-65	37.38072754556254	41.0	37.0	41.0	27.0	41.0
66-67	37.35629085405613	41.0	37.0	41.0	27.0	41.0
68-69	37.2485720307391	41.0	37.0	41.0	27.0	41.0
70-71	37.25988704257391	41.0	37.0	41.0	27.0	41.0
72-73	37.14998855076635	41.0	37.0	41.0	27.0	41.0
74-75	37.11533278154618	41.0	37.0	41.0	27.0	41.0
76-77	36.51320547011822	41.0	34.5	41.0	22.0	41.0
78-79	36.68035691735548	41.0	37.0	41.0	22.0	41.0
80-81	37.09181906138524	41.0	37.0	41.0	24.5	41.0
82-83	37.177780253730035	41.0	37.0	41.0	27.0	41.0
84-85	37.04533999621415	41.0	37.0	41.0	24.5	41.0
86-87	36.96506348921314	41.0	37.0	41.0	22.0	41.0
88-89	36.907715114297986	41.0	37.0	41.0	22.0	41.0
90-91	36.78454630590602	41.0	37.0	41.0	22.0	41.0
92-93	36.64980586746438	41.0	37.0	41.0	22.0	41.0
94-95	36.49297299832914	41.0	37.0	41.0	22.0	41.0
96-97	36.4085191380657	41.0	37.0	41.0	22.0	41.0
98-99	36.1917631511757	41.0	37.0	41.0	22.0	41.0
100-101	35.13219440920242	39.0	34.5	41.0	17.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-2.422229211493285
1101	2	-0.6473311729447957
1101	3	-1.439885210193232
1101	4	-1.1846444184206035
1101	5	-1.0900317611511312
1101	6	-1.5253916264659892
1101	7	-0.6946588152844484
1101	8	-0.35130559184824506
1101	9	-0.1398894120947105
1101	10-11	-0.062055332476489866
1101	12-13	-0.069590579465455
1101	14-15	-0.03994528222841609
1101	16-17	0.01192465633628359
1101	18-19	-0.0066037151228002244
1101	20-21	0.03921954942357786
1101	22-23	-0.009331910538406873
1101	24-25	-0.014582892128352398
1101	26-27	-0.03209433761243474
1101	28-29	-0.05621437906081184
1101	30-31	-0.020909074382878146
1101	32-33	0.19029070749547117
1101	34-35	0.13365795709567152
1101	36-37	0.19425813187593377
1101	38-39	0.009041513868943696
1101	40-41	-0.10839795469637892
1101	42-43	-0.12236083420467025
1101	44-45	-0.05226728965739369
1101	46-47	0.011029326578203325
1101	48-49	0.02890059115036081
1101	50-51	0.04239907943475174
1101	52-53	-0.004696705239439325
1101	54-55	0.14599017232797706
1101	56-57	-0.04535351927826525
1101	58-59	-0.025615028736453382
1101	60-61	0.06098517400760528
1101	62-63	-0.08596104818643369
1101	64-65	-0.07584801126813545
1101	66-67	0.01877051018518472
1101	68-69	-0.01886799142058493
1101	70-71	-0.05071733860985006
1101	72-73	-0.025400674459604033
1101	74-75	-0.022264241827855358
1101	76-77	-0.15129114497010931
1101	78-79	0.0389149398913986
1101	80-81	-0.08793576884615817
1101	82-83	-0.14321448780386703
1101	84-85	-0.07598212165531493
1101	86-87	-0.12095266111421665
1101	88-89	-0.21203531876086146
1101	90-91	-0.17842848154200652
1101	92-93	-0.15543915490356142
1101	94-95	-0.07142310883599379
1101	96-97	-0.07991734634542524
1101	98-99	-0.03913899708944513
1101	100-101	-0.16115395767265994
1102	1	-0.5421767590976536
1102	2	-0.6865541307165799
1102	3	-1.4381106340313394
1102	4	-1.2803673629119814
1102	5	-1.355421291653343
1102	6	-1.678108290762033
1102	7	-1.4788652316939448
1102	8	-0.9245354208376568
1102	9	-0.6061887493515954
1102	10-11	-0.33027443419220504
1102	12-13	-0.2740823325586277
1102	14-15	-0.2547545424745792
1102	16-17	-0.18547155457435593
1102	18-19	-0.1596485006380064
1102	20-21	-0.1776760593528337
1102	22-23	-0.22703994370791492
1102	24-25	-0.23855026041821503
1102	26-27	-0.07838151186271602
1102	28-29	-0.11734933663179703
1102	30-31	-0.11613714816466825
1102	32-33	0.0353449671968491
1102	34-35	0.009727568880656179
1102	36-37	-0.046882014376073755
1102	38-39	-0.20938284356114423
1102	40-41	-0.2721542731307096
1102	42-43	-0.20789850713019575
1102	44-45	-0.2238098476641781
1102	46-47	-0.18111286113402514
1102	48-49	-0.17236572312304332
1102	50-51	-0.09284627690514213
1102	52-53	-0.24597469373139802
1102	54-55	-0.04650947776878667
1102	56-57	-0.21207727014191136
1102	58-59	-0.22715657215321272
1102	60-61	-0.1306381666033971
1102	62-63	-0.19648962865081643
1102	64-65	-0.14129413231919585
1102	66-67	-0.11567227437082295
1102	68-69	-0.07413977842877273
1102	70-71	-0.1659279825538036
1102	72-73	-0.17464645801734946
1102	74-75	-0.22953452121208784
1102	76-77	-0.5897826636692898
1102	78-79	-0.19712867698211056
1102	80-81	-0.19955196481090098
1102	82-83	-0.31161812624863927
1102	84-85	-0.17409820043958746
1102	86-87	-0.17914565870515275
1102	88-89	-0.23759068515219184
1102	90-91	-0.22975838242187052
1102	92-93	-0.35804635123272277
1102	94-95	-0.3028608077589112
1102	96-97	-0.33328760470614327
1102	98-99	-0.2551713826462816
1102	100-101	-0.37186294930948804
1103	1	-0.7915649937665208
1103	2	-0.675496189277716
1103	3	-1.4217835492766042
1103	4	-1.2731683164681158
1103	5	-1.3439585105302
1103	6	-1.3752488513584638
1103	7	-1.456160453032524
1103	8	-1.326482642739343
1103	9	-0.6912213697000666
1103	10-11	-0.4249453028005874
1103	12-13	-0.2936167213925245
1103	14-15	-0.27580731452264473
1103	16-17	-0.21287530525341225
1103	18-19	-0.21543975412505034
1103	20-21	-0.1643393260561652
1103	22-23	-0.23268696335119188
